lokalni/ADJ,pravni/ADJ,osebi/NOUN
nemško/ADJ,ustavno/ADJ,življenje/NOUN
močnejša/ADJ,politična/ADJ,podkrepitev/NOUN
Velika/ADJ,stara/ADJ,stranka/NOUN
Nemške/ADJ,ljudske/ADJ,stranke/NOUN
stare/ADJ,rajhovske/ADJ,meje/NOUN
barbarske/ADJ,bombne/ADJ,argumente/NOUN
gozdnimi/ADJ,učnimi/ADJ,potmi/NOUN
zelena/ADJ,rečna/ADJ,obrežja/NOUN
Akademski/ADJ,pevski/ADJ,zbor/NOUN
redke/ADJ,živalske/ADJ,vrste/NOUN
hiter/ADJ,telefonski/ADJ,stik/NOUN
občinske/ADJ,volilne/ADJ,komisije/NOUN
evropska/ADJ,muzejska/ADJ,javnost/NOUN
ostali/ADJ,dnevni/ADJ,ritem/NOUN
določenega/ADJ,vodilnega/ADJ,strokovnjaka/NOUN
druge/ADJ,ugodne/ADJ,ponudbe/NOUN
dragocenejših/ADJ,muzejskih/ADJ,eksponatov/NOUN
edinem/ADJ,ljubljanskem/ADJ,sejmišču/NOUN
bogati/ADJ,Verdijevi/ADJ,melodiki/NOUN
zanimiva/ADJ,predvolilna/ADJ,tema/NOUN
profesionalni/ADJ,teniški/ADJ,turnir/NOUN
združenega/ADJ,razvojnega/ADJ,orodja/NOUN
celoten/ADJ,življenjski/ADJ,cikel/NOUN
Številna/ADJ,zmogljiva/ADJ,orodja/NOUN
priložena/ADJ,programska/ADJ,oprema/NOUN
Optionova/ADJ,programska/ADJ,oprema/NOUN
spodnjem/ADJ,cenovnem/ADJ,razredu/NOUN
različne/ADJ,numerične/ADJ,vrednosti/NOUN
mešanih/ADJ,splošnih/ADJ,zavarovalnic/NOUN
kitajskega/ADJ,finančnega/ADJ,ministra/NOUN
Uspešna/ADJ,lanska/ADJ,sezona/NOUN
Visoka/ADJ,kmetijska/ADJ,šola/NOUN
nižji/ADJ,procesorski/ADJ,frekvenci/NOUN
skupno/ADJ,podatkovno/ADJ,hrbtenico/NOUN
dodatne/ADJ,časovne/ADJ,zastoje/NOUN
obstoječe/ADJ,informacijske/ADJ,sisteme/NOUN
piranski/ADJ,občinski/ADJ,svet/NOUN
srebrni/ADJ,častni/ADJ,znak/NOUN
slovenski/ADJ,gledališki/ADJ,kulturi/NOUN
izjemne/ADJ,dolgoletne/ADJ,zasluge/NOUN
Srebrni/ADJ,častni/ADJ,znak/NOUN
Mednarodnega/ADJ,denarnega/ADJ,sklada/NOUN
nekdanjega/ADJ,španskega/ADJ,ministra/NOUN
Evropski/ADJ,finančni/ADJ,ministri/NOUN
Adamovo/ADJ,pisalno/ADJ,mizo/NOUN
večletnih/ADJ,lastnih/ADJ,izkušenj/NOUN
Svetovna/ADJ,gospodarska/ADJ,kriza/NOUN
največji/ADJ,trgovinski/ADJ,partnerici/NOUN
vrli/ADJ,slovenski/ADJ,oblastniki/NOUN
kilave/ADJ,zasilne/ADJ,nadomestke/NOUN
neposredne/ADJ,tuje/ADJ,naložbe/NOUN
velikih/ADJ,svetovnih/ADJ,odrih/NOUN
letošnjim/ADJ,evropskim/ADJ,prvenstvom/NOUN
dobre/ADJ,domače/ADJ,pečenke/NOUN
zastarelih/ADJ,izganjalnih/ADJ,ukazih/NOUN
Nemški/ADJ,konservativni/ADJ,dnevnik/NOUN
veliko/ADJ,osebno/ADJ,razočaranje/NOUN
včerajšnjem/ADJ,zadnjem/ADJ,dvoboju/NOUN
koroški/ADJ,deželni/ADJ,vladar/NOUN
lačne/ADJ,štirinožne/ADJ,boeme/NOUN
Velike/ADJ,klinične/ADJ,raziskave/NOUN
povprečnega/ADJ,evropskega/ADJ,dohodka/NOUN
poceni/ADJ,delovna/ADJ,sila/NOUN
avtorskem/ADJ,antropohigienskem/ADJ,konceptu/NOUN
visoke/ADJ,maternalne/ADJ,umrljivosti/NOUN
hrvaške/ADJ,glasbene/ADJ,scene/NOUN
majhnim/ADJ,računalniškim/ADJ,podjetjem/NOUN
deseti/ADJ,finalni/ADJ,strel/NOUN
italijanske/ADJ,pravosodne/ADJ,oblasti/NOUN
zadnjem/ADJ,predhodnem/ADJ,življenju/NOUN
posebno/ADJ,strokovno/ADJ,študijo/NOUN
neugodnih/ADJ,mednarodnih/ADJ,razmerah/NOUN
slovenski/ADJ,plačni/ADJ,politiki/NOUN
drugi/ADJ,svetovni/ADJ,vojni/NOUN
ajdovski/ADJ,občinski/ADJ,svet/NOUN
Kalifornijske/ADJ,državne/ADJ,univerze/NOUN
generalnega/ADJ,državnega/ADJ,tožilca/NOUN
Jugoslovanske/ADJ,oborožene/ADJ,sile/NOUN
srbske/ADJ,varnostne/ADJ,sile/NOUN
veliko/ADJ,ognjeno/ADJ,moč/NOUN
prvega/ADJ,delovnega/ADJ,inšpektorja/NOUN
absolutni/ADJ,svetovni/ADJ,prvak/NOUN
moške/ADJ,spolne/ADJ,celice/NOUN
moška/ADJ,spolna/ADJ,celica/NOUN
samodejnega/ADJ,živčnega/ADJ,sistema/NOUN
mlajši/ADJ,kameni/ADJ,dobi/NOUN
jedkih/ADJ,preiskovanih/ADJ,snovi/NOUN
največji/ADJ,morski/ADJ,tok/NOUN
višje/ADJ,geografske/ADJ,širine/NOUN
močne/ADJ,blagovne/ADJ,znamke/NOUN
razna/ADJ,železna/ADJ,orodja/NOUN
konstantno/ADJ,magnetno/ADJ,polje/NOUN
sam/ADJ,urbanistični/ADJ,del/NOUN
državno/ADJ,meteorološko/ADJ,mrežo/NOUN
brezplačna/ADJ,telefonska/ADJ,številka/NOUN
edino/ADJ,prevozno/ADJ,sredstvo/NOUN
posameznih/ADJ,postajah/NOUN,policijskih/ADJ
tujih/ADJ,rumenih/ADJ,časnikih/NOUN
novega/ADJ,svežega/ADJ,dnevnika/NOUN
slovensko/ADJ,ljudsko/ADJ,stranko/NOUN
nemški/ADJ,avtomobilski/ADJ,proizvajalec/NOUN
rednega/ADJ,mesečnega/ADJ,priliva/NOUN
aktivacijski/ADJ,prosti/ADJ,energiji/NOUN
dani/ADJ,rotacijski/ADJ,temperaturi/NOUN
glavno/ADJ,francosko/ADJ,upanje/NOUN
same/ADJ,idealne/ADJ,linije/NOUN
največja/ADJ,socialna/ADJ,mreža/NOUN
narečne/ADJ,preproste/ADJ,besede/NOUN
nova/ADJ,nagradna/ADJ,igra/NOUN
pomembno/ADJ,znanstveno/ADJ,odkritje/NOUN
togem/ADJ,heglovem/ADJ,pomenu/NOUN
iraških/ADJ,varnostnih/ADJ,sil/NOUN
iraške/ADJ,varnostne/ADJ,sile/NOUN
iraških/ADJ,varnostnih/ADJ,sil/NOUN
univerzalnem/ADJ,temeljnem/ADJ,dohodku/NOUN
bodoči/ADJ,pravosodni/ADJ,minister/NOUN
pomembni/ADJ,vsebinski/ADJ,problemi/NOUN
poljski/ADJ,desni/ADJ,strani/NOUN
druga/ADJ,velika/ADJ,priložnost/NOUN
šestintrideseti/ADJ,reprezentančni/ADJ,gol/NOUN
prodanih/ADJ,državnih/ADJ,podjetij/NOUN
nacionalna/ADJ,energetska/ADJ,pot/NOUN
nacionalna/ADJ,energetska/ADJ,pot/NOUN
drugo/ADJ,svetovno/ADJ,vojno/NOUN
posamezne/ADJ,besedne/ADJ,zveze/NOUN
izraelske/ADJ,obveščevalne/ADJ,službe/NOUN
vsesplošno/ADJ,vojaško/ADJ,vstajo/NOUN
morebitne/ADJ,izredne/ADJ,razmere/NOUN
osebna/ADJ,glagolska/ADJ,oblika/NOUN
osebna/ADJ,glagolska/ADJ,oblika/NOUN
ljubiteljskih/ADJ,godalnih/ADJ,sestavih/NOUN
manjše/ADJ,godalne/ADJ,zasedbe/NOUN
številnim/ADJ,novim/ADJ,poslušalcem/NOUN
star/ADJ,čebelji/ADJ,pregovor/NOUN
poljski/ADJ,nogometni/ADJ,zvezi/NOUN
mobilno/ADJ,telefonsko/ADJ,številko/NOUN
suhi/ADJ,jagodni/ADJ,izbori/NOUN
hudega/ADJ,kaznivega/ADJ,dejanja/NOUN
hujša/ADJ,zagrožena/ADJ,kazen/NOUN
premiernem/ADJ,hitrem/ADJ,kvizu/NOUN
premierni/ADJ,hitri/ADJ,kviz/NOUN
