rythme/NOUN,cardiaque/ADJ,normal/ADJ
homme/NOUN,politique/ADJ,serbe/ADJ
puissante/ADJ,arcade/NOUN,romane/ADJ
différents/ADJ,flux/NOUN,traversiers/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
infections/NOUN,respiratoires/ADJ,aigues/ADJ
énergie/NOUN,mécanique/ADJ,totale/ADJ
première/ADJ,coalition/NOUN,noire-verte/ADJ
première/ADJ,draft/NOUN,annuelle/ADJ
meilleurs/ADJ,clubs/NOUN,biélorusses/ADJ
première/ADJ,ligne/NOUN,anglaise/ADJ
climat/NOUN,subtropical/ADJ,humide/ADJ
nombreuses/ADJ,liaisons/NOUN,masculines/ADJ
ordre/NOUN,honorifique/ADJ,brésilien/ADJ
large/ADJ,cravate/NOUN,blanche/ADJ
148e/ADJ,place/NOUN,mondiale/ADJ
troisième/ADJ,division/NOUN,marocaine/ADJ
premier/ADJ,peintre/NOUN,officiel/ADJ
1er/ADJ,DVD/NOUN,live/ADJ
intérêt/NOUN,collectif/ADJ,agricole/ADJ
hypertension/NOUN,artérielle/ADJ,gravidique/ADJ
neuvième/ADJ,chambre/NOUN,correctionnelle/ADJ
rudes/ADJ,conditions/NOUN,climatiques/ADJ
beau/ADJ,jardin/NOUN,colonial/ADJ
dangereux/ADJ,petit/ADJ,radical/NOUN
commission/NOUN,mixte/ADJ,algéro-malienne/ADJ
premier/ADJ,ministre/NOUN,grec/ADJ
tribus/NOUN,indiennes/ADJ,nord-américaines/ADJ
principaux/ADJ,monuments/NOUN,historiques/ADJ
nouvelle/ADJ,église/NOUN,abbatiale/ADJ
deuxième/ADJ,essence/NOUN,feuillue/ADJ
nombreuses/ADJ,marches/NOUN,modulantes/ADJ
Office/NOUN,national/ADJ,interprofessionnel/ADJ
Office/NOUN,national/ADJ,interprofessionnel/ADJ
XIe/ADJ,brigade/NOUN,internationale/ADJ
extrémité/NOUN,latérale/ADJ,supérieure/ADJ
dirigeant/NOUN,sportif/ADJ,français/ADJ
même/ADJ,style/NOUN,nerveux/ADJ
Même/ADJ,préoccupations/NOUN,morales/ADJ
27èmes/ADJ,Journées/NOUN,Européennes/ADJ
division/NOUN,aéroportée/ADJ,américaine/ADJ
scrutin/NOUN,uninominal/ADJ,majoritaire/ADJ
scrutin/NOUN,proportionnel/ADJ,mixte/ADJ
Cour/NOUN,pénale/ADJ,internationale/ADJ
Union/NOUN,syndicale/ADJ,suisse/ADJ
domaine/NOUN,féodal/ADJ,japonais/ADJ
riche/ADJ,arôme/NOUN,particulier/ADJ
débit/NOUN,mensuel/ADJ,moyen/ADJ
parc/NOUN,naturel/ADJ,régional/ADJ
premières/ADJ,tentatives/NOUN,scientifiques/ADJ
Émirats/NOUN,arabes/ADJ,unis/ADJ
port/NOUN,naturel/ADJ,saoudien/ADJ
seule/ADJ,centrale/NOUN,nucléaire/ADJ
large/ADJ,bande/NOUN,passante/ADJ
première/ADJ,puissance/NOUN,régionale/ADJ
série/NOUN,télévisée/ADJ,canadienne/ADJ
légère/ADJ,tendance/NOUN,continentale/ADJ
Premier/ADJ,ministre/NOUN,luxembourgeois/ADJ
premier/ADJ,empire/NOUN,colonial/ADJ
première/ADJ,demi-heure/NOUN,gratuite/ADJ
représentation/NOUN,diplomatique/ADJ,espagnole/ADJ
ancien/ADJ,pays/NOUN,traditionnel/ADJ
flanc/NOUN,droit/ADJ,unioniste/ADJ
moyen/ADJ,anglais/NOUN,primitif/ADJ
grosses/ADJ,pertes/NOUN,humaines/ADJ
calendrier/NOUN,julien/ADJ,proleptique/ADJ
petite/ADJ,tache/NOUN,dorée/ADJ
élections/NOUN,législatives/ADJ,anticipées/ADJ
espaces/NOUN,verts/ADJ,municipaux/ADJ
système/NOUN,nerveux/ADJ,central/ADJ
foi/NOUN,catholique/ADJ,profonde/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
premier/ADJ,album/NOUN,solo/ADJ
sphère/NOUN,académique/ADJ,européenne/ADJ
62e/ADJ,division/NOUN,britannique/ADJ
premiers/ADJ,laboratoires/NOUN,scientifiques/ADJ
tradition/NOUN,religieuse/ADJ,chinoise/ADJ
forces/NOUN,spéciales/ADJ,françaises/ADJ
intervention/NOUN,armée/ADJ,extérieure/ADJ
viande/NOUN,rouge/ADJ,algérienne/ADJ
hiérarchie/NOUN,sociale/ADJ,complexe/ADJ
député/NOUN,européen/ADJ,allemand/ADJ
autre/ADJ,groupe/NOUN,allemand/ADJ
seul/ADJ,grand/ADJ,tour/NOUN
autres/ADJ,édifices/NOUN,semblables/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
deuxième/ADJ,niveau/NOUN,national/ADJ
jeune/ADJ,attaquant/NOUN,serbe/ADJ
forces/NOUN,militaires/ADJ,US/ADJ
puissant/ADJ,chef/NOUN,tribal/ADJ
première/ADJ,division/NOUN,blindée/ADJ
meilleur/ADJ,satellite/NOUN,disponible/ADJ
parc/NOUN,naturel/ADJ,régional/ADJ
même/ADJ,code/NOUN,postal/ADJ
École/NOUN,normale/ADJ,supérieure/ADJ
forme/NOUN,active/ADJ,définitive/ADJ
ensemble/NOUN,culturel/ADJ,océanien/ADJ
paysage/NOUN,linguistique/ADJ,kanak/ADJ
principaux/ADJ,pays/NOUN,européens/ADJ
Front/NOUN,National/ADJ,Iranien/ADJ
tradition/NOUN,alchimique/ADJ,individualiste/ADJ
école/NOUN,nationale/ADJ,supérieure/ADJ
sincère/ADJ,volonté/NOUN,américaine/ADJ
super/ADJ,héros/NOUN,patriotique/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
99e/ADJ,méridien/NOUN,ouest/ADJ
eau/NOUN,douce/ADJ,disponible/ADJ
nombreux/ADJ,invités/NOUN,étrangers/ADJ
petit/ADJ,chien/NOUN,écologiste/ADJ
parti/NOUN,politique/ADJ,québécois/ADJ
première/ADJ,compétition/NOUN,européenne/ADJ
femme/NOUN,politique/ADJ,roumaine/ADJ
nouvelle/ADJ,suspension/NOUN,arrière/ADJ
première/ADJ,ceinture/NOUN,fortifiée/ADJ
autres/ADJ,apports/NOUN,notoires/ADJ
aileron/NOUN,arrière/ADJ,mobile/ADJ
grande/ADJ,esplanade/NOUN,centrale/ADJ
jeune/ADJ,femme/NOUN,élégante/ADJ
alphabet/NOUN,phonétique/ADJ,international/ADJ
meilleurs/ADJ,restaurants/NOUN,thai/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
maladie/NOUN,chromosomique/ADJ,congénitale/ADJ
route/NOUN,nationale/ADJ,marocaine/ADJ
personnalité/NOUN,politique/ADJ,française/ADJ
premier/ADJ,avion/NOUN,japonais/ADJ
Congrès/NOUN,ornithologique/ADJ,international/ADJ
projets/NOUN,autoroutiers/ADJ,interurbains/ADJ
premier/ADJ,parrain/NOUN,officiel/ADJ
peintre/NOUN,italien/ADJ,baroque/ADJ
seule/ADJ,région/NOUN,française/ADJ
soutien/NOUN,politique/ADJ,important/ADJ
grand-mère/NOUN,maternelle/ADJ,russe/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
système/NOUN,juridique/ADJ,indépendant/ADJ
ancien/ADJ,premier/ADJ,ministre/NOUN
anciens/ADJ,membres/NOUN,historiques/ADJ
bonne/ADJ,première/ADJ,impression/NOUN
contexte/NOUN,économique/ADJ,actuel/ADJ
division/NOUN,territoriale/ADJ,historique/ADJ
prêtre/NOUN,jésuite/ADJ,français/ADJ
abondante/ADJ,bibliothèque/NOUN,port-royaliste/ADJ
Haute/ADJ,commission/NOUN,binationale/ADJ
principales/ADJ,boutiques/NOUN,adjacentes/ADJ
tradition/NOUN,grammaticale/ADJ,latine/ADJ
peintre/NOUN,italien/ADJ,baroque/ADJ
initiative/NOUN,populaire/ADJ,suisse/ADJ
troisième/ADJ,tablette/NOUN,gratuite/ADJ
coureur/NOUN,cycliste/ADJ,serbe/ADJ
seconde/ADJ,liste/NOUN,déroulante/ADJ
situations/NOUN,politiques/ADJ,intérieures/ADJ
circulation/NOUN,aérienne/ADJ,publique/ADJ
langues/NOUN,asliennes/ADJ,septentrionales/ADJ
système/NOUN,scolaire/ADJ,français/ADJ
type/NOUN,océanique/ADJ,classique/ADJ
Parti/NOUN,communiste/ADJ,libanais/ADJ
division/NOUN,administrative/ADJ,française/ADJ
micro-région/NOUN,statistique/ADJ,hongroise/ADJ
ancien/ADJ,diplomate/NOUN,marocain/ADJ
puissant/ADJ,secteur/NOUN,chimique/ADJ
décrochage/NOUN,scolaire/ADJ,précoce/ADJ
valeur/NOUN,ajoutée/ADJ,industrielle/ADJ
vin/NOUN,rouge/ADJ,italien/ADJ
principale/ADJ,ressource/NOUN,énergétique/ADJ
économie/NOUN,politique/ADJ,moderne/ADJ
véritable/ADJ,membre/NOUN,actif/ADJ
premiers/ADJ,pasteurs/NOUN,piétistes/ADJ
beaux/ADJ,meubles/NOUN,chinois/ADJ
nombreux/ADJ,contrôles/NOUN,policiers/ADJ
grandes/ADJ,aires/NOUN,urbaines/ADJ
premiers/ADJ,articles/NOUN,académiques/ADJ
autres/ADJ,journalistes/NOUN,québécois/ADJ
substance/NOUN,psychotrope/ADJ,populaire/ADJ
soi-disant/ADJ,histoires/NOUN,vraies/ADJ
paralysie/NOUN,législative/ADJ,prolongée/ADJ
nouvelles/ADJ,charges/NOUN,financières/ADJ
déficit/NOUN,budgétaire/ADJ,important/ADJ
intervention/NOUN,chirurgicale/ADJ,extraordinaire/ADJ
mauvaises/ADJ,conditions/NOUN,climatiques/ADJ
Marine/NOUN,Royale/ADJ,britannique/ADJ
chahut/NOUN,familial/ADJ,convivial/ADJ
drame/NOUN,social/ADJ,percutant/ADJ
nouvelle/ADJ,cible/NOUN,facile/ADJ
vote/NOUN,anticipé/ADJ,direct/ADJ
Libertés/NOUN,Civiles/ADJ,Américaines/ADJ
tel/ADJ,état/NOUN,émotionnel/ADJ
chaque/ADJ,compagnie/NOUN,aérienne/ADJ
villes/NOUN,côtières/ADJ,grecques/ADJ
armée/NOUN,achéménide/ADJ,multiethnique/ADJ
vent/NOUN,saisonnier/ADJ,dominant/ADJ
Différentes/ADJ,tribus/NOUN,germaniques/ADJ
importantes/ADJ,tribus/NOUN,slaves/ADJ
forces/NOUN,tectoniques/ADJ,planétaires/ADJ
religion/NOUN,traditionnelle/ADJ,africaine/ADJ
Plusieurs/ADJ,civilisations/NOUN,antiques/ADJ
civilisations/NOUN,méditéranéennes/ADJ,importantes/ADJ
opinion/NOUN,publique/ADJ,danoise/ADJ
climat/NOUN,méditerranéen/ADJ,doux/ADJ
Divers/ADJ,acheteurs/NOUN,privés/ADJ
nombreux/ADJ,peuples/NOUN,indigènes/ADJ
plusieurs/ADJ,langues/NOUN,européennes/ADJ
rapide/ADJ,croissance/NOUN,démographique/ADJ
première/ADJ,étude/NOUN,académique/ADJ
derniers/ADJ,Jeux/NOUN,Olympiques/ADJ
première/ADJ,mention/NOUN,historique/ADJ
signe/NOUN,astrologique/ADJ,chinois/ADJ
signe/NOUN,astrologique/ADJ,chinois/ADJ
Nouvel/ADJ,An/NOUN,chinois/ADJ
programme/NOUN,télévisé/ADJ,japonais/ADJ
Station/NOUN,Spatiale/ADJ,Internationale/ADJ
grande/ADJ,armée/NOUN,macédonienne/ADJ
grande/ADJ,campagne/NOUN,conquérante/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
croissance/NOUN,économique/ADJ,dynamique/ADJ
itinéraires/NOUN,commerciaux/ADJ,lucratifs/ADJ
occupation/NOUN,militaire/ADJ,américaine/ADJ
bonnes/ADJ,terres/NOUN,agricoles/ADJ
deuxième/ADJ,guerre/NOUN,messénienne/ADJ
propres/ADJ,petites/ADJ,voitures/NOUN
Première/ADJ,Guerre/NOUN,mondiale/ADJ
première/ADJ,lutte/NOUN,épique/ADJ
nouveaux/ADJ,quartiers/NOUN,indigènes/ADJ
Certains/ADJ,érudits/NOUN,chrétiens/ADJ
basses/ADJ,terres/NOUN,mayas/ADJ
arc/NOUN,narratif/ADJ,élaboré/ADJ
autres/ADJ,fonctionnaires/NOUN,allemands/ADJ
prochain/ADJ,cycle/NOUN,électoral/ADJ
responsable/NOUN,politique/ADJ,chevronné/ADJ
étroit/ADJ,écran/NOUN,tactile/ADJ
services/NOUN,secrets/ADJ,russes/ADJ
flux/NOUN,financiers/ADJ,douteux/ADJ
contraceptions/NOUN,hormonales/ADJ,masculines/ADJ
chaque/ADJ,zone/NOUN,spécialisée/ADJ
contraception/NOUN,hormonale/ADJ,masculine/ADJ
enquêteur/NOUN,principal/ADJ,canadien/ADJ
patrimoine/NOUN,naturel/ADJ,national/ADJ
première/ADJ,femme/NOUN,présidente/ADJ
famille/NOUN,catholique/ADJ,antifasciste/ADJ
quatrième/ADJ,compagnie/NOUN,américaine/ADJ
autres/ADJ,dispositifs/NOUN,verbaux/ADJ
seconde/ADJ,guerre/NOUN,mondiale/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
vieilles/ADJ,puissances/NOUN,coloniales/ADJ
élections/NOUN,générales/ADJ,libres/ADJ
petites/ADJ,communautés/NOUN,indépendantes/ADJ
classe/NOUN,moyenne/ADJ,chinoise/ADJ
engagement/NOUN,révolutionnaire/ADJ,radical/ADJ
courte/ADJ,liaison/NOUN,amoureuse/ADJ
plusieurs/ADJ,différents/ADJ,menhirs/NOUN
nombreux/ADJ,artefacts/NOUN,préhistoriques/ADJ
deuxième/ADJ,région/NOUN,royale/ADJ
différentes/ADJ,pièces/NOUN,cinématographiques/ADJ
nombreuses/ADJ,chapelles/NOUN,latérales/ADJ
prisonniers/NOUN,politiques/ADJ,restants/ADJ
autre/ADJ,succès/NOUN,remarquable/ADJ
Metropolitan/ADJ,Club/NOUN,privé/ADJ
politiques/NOUN,nationales/ADJ,subsidiaires/ADJ
sixième/ADJ,grande/ADJ,extinction/NOUN
grands/ADJ,désassembleurs/NOUN,moléculaires/ADJ
mêmes/ADJ,agents/NOUN,pathogènes/ADJ
seul/ADJ,pouce/NOUN,cube/ADJ
membranes/NOUN,neurologiques/ADJ,étendues/ADJ
même/ADJ,archétype/NOUN,mycéliaire/ADJ
Hautes/ADJ,Parties/NOUN,Contractantes/ADJ
règles/NOUN,constitutionnelles/ADJ,respectives/ADJ
premier/ADJ,jour/NOUN,ouvrable/ADJ
propre/ADJ,analyse/NOUN,politique/ADJ
effroyable/ADJ,accident/NOUN,ferroviaire/ADJ
avantage/NOUN,concurrentiel/ADJ,temporaire/ADJ
examens/NOUN,internationaux/ADJ,identiques/ADJ
gestion/NOUN,collective/ADJ,obligatoire/ADJ
fournisseur/NOUN,potentiel/ADJ,important/ADJ
fond/NOUN,social/ADJ,européen/ADJ
fonds/NOUN,social/ADJ,européen/ADJ
autres/ADJ,groupes/NOUN,politiques/ADJ
politique/NOUN,régionale/ADJ,communautaire/ADJ
autres/ADJ,régions/NOUN,périphériques/ADJ
politique/NOUN,régionale/ADJ,communautaire/ADJ
produit/NOUN,intérieur/ADJ,brut/ADJ
fond/NOUN,social/ADJ,européen/ADJ
fonds/NOUN,structurels/ADJ,disponibles/ADJ
partie/NOUN,supérieure/ADJ,droite/ADJ
conditions/NOUN,contractuelles/ADJ,différentes/ADJ
campagne/NOUN,publicitaire/ADJ,intéressante/ADJ
performances/NOUN,fonctionnelles/ADJ,similaires/ADJ
impact/NOUN,environnemental/ADJ,global/ADJ
stratégies/NOUN,thématiques/ADJ,pertinentes/ADJ
autres/ADJ,utilisateurs/NOUN,finals/ADJ
activité/NOUN,économique/ADJ,saine/ADJ
preuves/NOUN,scientifiques/ADJ,nouvelles/ADJ
principaux/ADJ,éléments/NOUN,novateurs/ADJ
objectif/NOUN,environnemental/ADJ,prioritaire/ADJ
programmes/NOUN,communautaires/ADJ,pertinents/ADJ
normes/NOUN,internationales/ADJ,pertinentes/ADJ
instruments/NOUN,communautaires/ADJ,préexistants/ADJ
eau/NOUN,chaude/ADJ,sanitaire/ADJ
consentement/NOUN,préalable/ADJ,écrit/ADJ
offices/NOUN,centraux/ADJ,nationaux/ADJ
banque/NOUN,centrale/ADJ,européenne/ADJ
principales/ADJ,conclusions/NOUN,suivantes/ADJ
dotation/NOUN,budgétaire/ADJ,initiale/ADJ
premier/ADJ,projet/NOUN,relevant/ADJ
seule/ADJ,étude/NOUN,technique/ADJ
banques/NOUN,centrales/ADJ,nationales/ADJ
services/NOUN,secrets/ADJ,américains/ADJ
ligne/NOUN,budgétaire/ADJ,spécifique/ADJ
autres/ADJ,programmes/NOUN,communautaires/ADJ
offices/NOUN,centraux/ADJ,nationaux/ADJ
présente/ADJ,Déclaration/NOUN,Universelle/ADJ
juridictions/NOUN,nationales/ADJ,compétentes/ADJ
suffrage/NOUN,universel/ADJ,égal/ADJ
services/NOUN,sociaux/ADJ,nécessaires/ADJ
même/ADJ,protection/NOUN,sociale/ADJ
principe/NOUN,juridique/ADJ,fondamental/ADJ
délicieux/ADJ,petits/ADJ,chocolats/NOUN
autre/ADJ,prédateur/NOUN,suprême/ADJ
grande/ADJ,découverte/NOUN,scientifique/ADJ
autres/ADJ,traitements/NOUN,anti-ostéoporotiques/ADJ
surveillance/NOUN,clinique/ADJ,appropriée/ADJ
disparition/NOUN,biphasique/ADJ,rapide/ADJ
ressources/NOUN,financières/ADJ,adéquates/ADJ
besoins/NOUN,physiques/ADJ,urgents/ADJ
autre/ADJ,principe/NOUN,important/ADJ
ministère/NOUN,public/ADJ,européen/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
partis/NOUN,politiques/ADJ,français/ADJ
longs/ADJ,tubes/NOUN,linéaires/ADJ
nouvelles/ADJ,opportunités/NOUN,commerciales/ADJ
autres/ADJ,établissements/NOUN,financiers/ADJ
représentation/NOUN,théâtrale/ADJ,remarquable/ADJ
poussée/NOUN,intraveineuse/ADJ,rapide/ADJ
insuffisance/NOUN,rénale/ADJ,modérée/ADJ
choc/NOUN,anaphylactique/ADJ,fatal/ADJ
perfusion/NOUN,intraveineuse/ADJ,constante/ADJ
scrutin/NOUN,uninominal/ADJ,majoritaire/ADJ
nouvelle/ADJ,fracture/NOUN,vertébrale/ADJ
surveillance/NOUN,clinique/ADJ,appropriée/ADJ
seule/ADJ,mission/NOUN,importante/ADJ
financement/NOUN,politique/ADJ,occulte/ADJ
photographe/NOUN,libanais/ADJ,indépendant/ADJ
problèmes/NOUN,rénaux/ADJ,aigus/ADJ
syndrome/NOUN,coronarien/ADJ,aigu/ADJ
plasma/NOUN,humain/ADJ,normal/ADJ
fonction/NOUN,rénale/ADJ,normale/ADJ
prescription/NOUN,médicale/ADJ,restreinte/ADJ
PETITS/ADJ,CONDITIONNEMENTS/NOUN,PRIMAIRES/ADJ
assemblée/NOUN,générale/ADJ,décentralisée/ADJ
Tribunal/NOUN,pénal/ADJ,international/ADJ
nombreuses/ADJ,petites/ADJ,listes/NOUN
syndrome/NOUN,coronaire/ADJ,aigu/ADJ
traitement/NOUN,conservateur/ADJ,médical/ADJ
endocardite/NOUN,bactérienne/ADJ,subaiguë/ADJ
consommation/NOUN,énergétique/ADJ,moyenne/ADJ
acides/NOUN,aminés/ADJ,constitutifs/ADJ
problèmes/NOUN,rénaux/ADJ,modérés/ADJ
phosphatases/NOUN,alcalines/ADJ,sériques/ADJ
évènements/NOUN,indésirables/ADJ,graves/ADJ
altération/NOUN,rénale/ADJ,préexistante/ADJ
médicaments/NOUN,néphrotoxiques/ADJ,concomitants/ADJ
taux/NOUN,post-ménopausiques/ADJ,élevés/ADJ
densité/NOUN,minérale/ADJ,osseuse/ADJ
fractures/NOUN,vertébrales/ADJ,légères/ADJ
fracture/NOUN,vertébrale/ADJ,prévalente/ADJ
nouvelle/ADJ,fracture/NOUN,vertébrale/ADJ
fractures/NOUN,cliniques/ADJ,dorsales/ADJ
données/NOUN,pharmacocinétiques/ADJ,suivantes/ADJ
seule/ADJ,perfusion/NOUN,intraveineuse/ADJ
seule/ADJ,perfusion/NOUN,intraveineuse/ADJ
acide/NOUN,zolédronique/ADJ,anhydre/ADJ
acide/NOUN,zolédronique/ADJ,monohydraté/ADJ
apport/NOUN,supplémentaire/ADJ,approprié/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
ancien/ADJ,bras/NOUN,droit/ADJ
ancien/ADJ,directeur/NOUN,général/ADJ
ancien/ADJ,directeur/NOUN,adjoint/ADJ
directeur/NOUN,général/ADJ,adjoint/ADJ
modeste/ADJ,journal/NOUN,électoral/ADJ
partis/NOUN,politiques/ADJ,français/ADJ
ancien/ADJ,directeur/NOUN,général/ADJ
Affaire/NOUN,politico-financière/ADJ,française/ADJ
domaine/NOUN,public/ADJ,maritime/ADJ
nombreux/ADJ,autres/ADJ,États/NOUN
perte/NOUN,osseuse/ADJ,graduelle/ADJ
tissu/NOUN,osseux/ADJ,ancien/ADJ
même/ADJ,substance/NOUN,active/ADJ
Effets/NOUN,indésirables/ADJ,fréquents/ADJ
Effets/NOUN,indésirables/ADJ,rares/ADJ
acide/NOUN,zolédronique/ADJ,anhydre/ADJ
acide/NOUN,zolédronique/ADJ,monohydraté/ADJ
atteinte/NOUN,rénale/ADJ,sévère/ADJ
expérience/NOUN,clinique/ADJ,suffisante/ADJ
remodelage/NOUN,osseux/ADJ,élevé/ADJ
procédures/NOUN,médicales/ADJ,standards/ADJ
exploitations/NOUN,familiales/ADJ,européennes/ADJ
maires/NOUN,communistes/ADJ,français/ADJ
prisonniers/NOUN,Kosovars/ADJ,albanais/ADJ
nombreuses/ADJ,autres/ADJ,activités/NOUN
petite/ADJ,pêche/NOUN,côtière/ADJ
Seconde/ADJ,Guerre/NOUN,mondiale/ADJ
simple/ADJ,convention/NOUN,économique/ADJ
troisième/ADJ,principe/NOUN,fondamental/ADJ
système/NOUN,financier/ADJ,international/ADJ
marchés/NOUN,financiers/ADJ,européens/ADJ
autorité/NOUN,prudentielle/ADJ,unique/ADJ
base/NOUN,juridique/ADJ,nécessaire/ADJ
petit/ADJ,air/NOUN,tristounet/ADJ
aides/NOUN,financières/ADJ,communautaires/ADJ
célèbre/ADJ,retraité/NOUN,américain/ADJ
ressources/NOUN,financières/ADJ,importantes/ADJ
partis/NOUN,nationalistes/ADJ,démocratiques/ADJ
récentes/ADJ,attaques/NOUN,infructueuses/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
opinion/NOUN,publique/ADJ,internationale/ADJ
petites/ADJ,pierres/NOUN,fines/ADJ
Affaire/NOUN,politico-financière/ADJ,française/ADJ
différentes/ADJ,affaires/NOUN,politico-financières/ADJ
ancien/ADJ,secrétaire/NOUN,général/ADJ
seul/ADJ,3e/ADJ,arrondissement/NOUN
nouvelle/ADJ,information/NOUN,judiciaire/ADJ
cercles/NOUN,militaires/ADJ,catholiques/ADJ
nouvelles/ADJ,lois/NOUN,laïques/ADJ
loges/NOUN,bourgeoises/ADJ,modérées/ADJ
Première/ADJ,Guerre/NOUN,mondiale/ADJ
notables/NOUN,républicains/ADJ,modérés/ADJ
bonne/ADJ,disposition/NOUN,politique/ADJ
propres/ADJ,services/NOUN,internes/ADJ
police/NOUN,politique/ADJ,moderne/ADJ
ancien/ADJ,directeur/NOUN,général/ADJ
ancien/ADJ,banquier/NOUN,français/ADJ
ancien/ADJ,directeur/NOUN,général/ADJ
commissions/NOUN,politiques/ADJ,correspondantes/ADJ
Parti/NOUN,communiste/ADJ,chinois/ADJ
officiers/NOUN,supérieurs/ADJ,français/ADJ
Parti/NOUN,communiste/ADJ,chinois/ADJ
ancien/ADJ,ministre/NOUN,socialiste/ADJ
information/NOUN,judiciaire/ADJ,française/ADJ
ancien/ADJ,directeur/NOUN,adjoint/ADJ
boîte/NOUN,noire/ADJ,financière/ADJ
personnalités/NOUN,politiques/ADJ,taïwanaises/ADJ
ancien/ADJ,directeur/NOUN,adjoint/ADJ
solde/NOUN,financier/ADJ,positif/ADJ
ancien/ADJ,conseiller/NOUN,commercial/ADJ
responsables/NOUN,politiques/ADJ,français/ADJ
nouveau/ADJ,président/NOUN,taïwanais/ADJ
ancien/ADJ,directeur/NOUN,juridique/ADJ
ancien/ADJ,directeur/NOUN,juridique/ADJ
nouvelle/ADJ,école/NOUN,maternelle/ADJ
petite/ADJ,contribution/NOUN,financière/ADJ
ancien/ADJ,directeur/NOUN,général/ADJ
police/NOUN,judiciaire/ADJ,parisienne/ADJ
Affaire/NOUN,politico-financière/ADJ,française/ADJ
autres/ADJ,factures/NOUN,fictives/ADJ
petite/ADJ,chemise/NOUN,rose/ADJ
nombreux/ADJ,marchés/NOUN,publics/ADJ
hommes/NOUN,politiques/ADJ,-clés/ADJ
Affaire/NOUN,politico-financière/ADJ,française/ADJ
affaire/NOUN,politico-financière/ADJ,française/ADJ
important/ADJ,groupe/NOUN,canadien/ADJ
Comité/NOUN,international/ADJ,olympique/ADJ
Affaire/NOUN,politico-financière/ADJ,française/ADJ
Affaire/NOUN,politico-financière/ADJ,italienne/ADJ
derniers/ADJ,otages/NOUN,français/ADJ
organisation/NOUN,intégriste/ADJ,libanaise/ADJ
divers/ADJ,groupes/NOUN,terroristes/ADJ
domaine/NOUN,public/ADJ,maritime/ADJ
ébauche/NOUN,politique/ADJ,française/ADJ
Affaire/NOUN,politico-financière/ADJ,française/ADJ
première/ADJ,manipulation/NOUN,emblématique/ADJ
ancien/ADJ,haut/ADJ,commissaire/NOUN
grandes/ADJ,compagnies/NOUN,privées/ADJ
table/NOUN,ronde/ADJ,ivoirienne/ADJ
différentes/ADJ,parties/NOUN,intéressées/ADJ
dernier/ADJ,conseil/NOUN,municipal/ADJ
Jeux/NOUN,olympiques/ADJ,inter-établissements/ADJ
RAPPORT/NOUN,EUROPÉEN/ADJ,PUBLIC/ADJ
rapport/NOUN,européen/ADJ,public/ADJ
jeune/ADJ,homme/NOUN,dissipé/ADJ
intervention/NOUN,coronaire/ADJ,percutanée/ADJ
intervention/NOUN,coronaire/ADJ,percutanée/ADJ
première/ADJ,division/NOUN,départementale/ADJ
intervention/NOUN,coronaire/ADJ,percutanée/ADJ
syndrome/NOUN,coronarien/ADJ,aigu/ADJ
Syndrome/NOUN,coronarien/ADJ,aigu/ADJ
insuffisance/NOUN,rénale/ADJ,modérée/ADJ
insuffisance/NOUN,rénale/ADJ,sévère/ADJ
bas/ADJ,poids/NOUN,moléculaire/ADJ
bas/ADJ,poids/NOUN,moléculaire/ADJ
insuffisance/NOUN,rénale/ADJ,sévère/ADJ
normes/NOUN,médicales/ADJ,actuelles/ADJ
autres/ADJ,événements/NOUN,indésirables/ADJ
liaisons/NOUN,croisées/ADJ,covalentes/ADJ
syndrome/NOUN,coronarien/ADJ,aigu/ADJ
intervention/NOUN,coronaire/ADJ,percutanée/ADJ
site/NOUN,catalytique/ADJ,actif/ADJ
fonction/NOUN,rénale/ADJ,normale/ADJ
légère/ADJ,insuffisance/NOUN,rénale/ADJ
première/ADJ,exposition/NOUN,avicole/ADJ
concentration/NOUN,plasmatique/ADJ,clinique/ADJ
effets/NOUN,pharmacologiques/ADJ,exagérés/ADJ
activité/NOUN,pharmacologique/ADJ,excessive/ADJ
même/ADJ,perfusion/NOUN,intraveineuse/ADJ
effets/NOUN,indésirables/ADJ,éventuels/ADJ
syndromes/NOUN,coronariens/ADJ,aigus/ADJ
tension/NOUN,artérielle/ADJ,élevée/ADJ
intervention/NOUN,coronaire/ADJ,percutanée/ADJ
intervention/NOUN,coronaire/ADJ,percutanée/ADJ
EFFETS/NOUN,INDESIRABLES/ADJ,EVENTUELS/ADJ
RAPPORT/NOUN,EUROPEEN/ADJ,PUBLIC/ADJ
même/ADJ,principe/NOUN,actif/ADJ
autre/ADJ,traitement/NOUN,anti-ostéoporosique/ADJ
acide/NOUN,zolédronique/ADJ,anhydre/ADJ
